Trace_Name,SSD_ID,Submitted_SubRequests,Completed_SubRequests,Submitted_Read_Sectors,Submitted_Write_Sectors,Attributed_Host_Write_Sectors,WAM_Host_Write_Sectors,WAM_Migration_Write_Sectors,WAM_Cumulative_Write_Sectors,Average_SubRequest_Latency_us,Bad_Block_Count,Pending_Retirement_Count,OP_Consumed_Block_Count,OP_Spare_Block_Limit,Current_Effective_OP_Ratio,EOL_Triggered,EOL_Time_ns,EOL_Bad_Block_Count,EOL_Effective_OP_Ratio,Min_Block_Erase_Count,Max_Block_Erase_Count,Total_Block_Erase_Count,Avg_Block_Erase_Count,StdDev_Block_Erase_Count,Flash_Page_Program_Count,Flash_Page_Erase_Count,Logical_Host_Write_Bytes_Attributed,Approx_Flash_Programmed_Bytes,Approx_Flash_Write_Amplification
prn0_proj0_compact,0,3416280,3416280,11699954,104742987,104742987,104742987,0,104742987,1872.827787,0,0,0,6554,0.200012,false,0,0,0.000000,0,14,4651,0.141937,0.829025,8324899,4651,53628409344,68197572608,1.271669
prn0_proj0_compact,1,2388261,2388261,11510225,100185516,100185516,100185516,0,100185516,1944.568209,0,0,0,6554,0.200012,false,0,0,0.000000,0,7,2262,0.069031,0.417361,7539282,2262,51294984192,61761798144,1.204051
prn0_proj0_compact,2,2471851,2471851,11804147,97293141,97293141,97293141,0,97293141,1955.812684,0,0,0,6554,0.200012,false,0,0,0.000000,0,6,1389,0.042389,0.316581,7433624,1389,49814088192,60896247808,1.222470
prn0_proj0_compact,3,2266451,2266451,11317939,96724277,96724277,96724277,0,96724277,1965.881583,0,0,0,6554,0.200012,false,0,0,0.000000,0,3,952,0.029053,0.213121,7227600,952,49522829824,59208499200,1.195580
prn0_prxy0_compact,0,8205894,8205894,8103155,63443708,63443708,63443708,0,63443708,1377.182962,0,0,0,6554,0.200012,false,0,0,0.000000,0,13,15032,0.458740,1.000522,10321963,15032,32483178496,84557520896,2.603117
prn0_prxy0_compact,1,4278090,4278090,8450891,50282204,50282204,50282204,0,50282204,1547.845429,0,0,0,6554,0.200012,false,0,0,0.000000,0,6,6552,0.199951,0.626705,6325917,6552,25744488448,51821912064,2.012932
prn0_prxy0_compact,2,2079926,2079926,8976099,45316533,45316533,45316533,0,45316533,2237.526326,0,0,0,6554,0.200012,false,0,0,0.000000,0,6,548,0.016724,0.225674,3980763,548,23202064896,32610410496,1.405496
prn0_prxy0_compact,3,3891254,3891254,8376533,50175041,50175041,50175041,0,50175041,1576.696623,0,0,0,6554,0.200012,false,0,0,0.000000,0,3,3930,0.119934,0.372905,5982356,3930,25689620992,49007460352,1.907675
prn0proj0_prxy0_compact,0,9616071,9616071,13134537,141011196,141011196,141011196,0,141011196,1310.505554,0,0,0,6554,0.200012,false,0,0,0.000000,0,18,31328,0.956055,1.560787,15790695,31328,72197732352,129357373440,1.791710
prn0proj0_prxy0_compact,1,5389793,5389793,13071897,125999561,125999561,125999561,0,125999561,1411.816854,0,0,0,6554,0.200012,false,0,0,0.000000,0,7,14754,0.450256,1.015458,11527351,14754,64511775232,94432059392,1.463796
prn0proj0_prxy0_compact,2,3269336,3269336,13566889,120693032,120693032,120693032,0,120693032,1742.205931,0,0,0,6554,0.200012,false,0,0,0.000000,0,7,5830,0.177917,0.517006,9222587,5830,61794832384,75551432704,1.222617
prn0proj0_prxy0_compact,3,4962110,4962110,12948020,124063277,124063277,124063277,0,124063277,1426.146406,0,0,0,6554,0.200012,false,0,0,0.000000,0,6,12828,0.391479,0.810923,11019403,12828,63520397824,90270949376,1.421133
prn_0,0,2030423,2030423,6919197,27859813,27859813,27859813,0,27859813,2561.177320,0,0,0,6554,0.200012,false,0,0,0.000000,0,13,1954,0.059631,0.584777,2920442,1954,14264224256,23924260864,1.677221
prn_0,1,1276558,1276558,6889219,24468159,24468159,24468159,0,24468159,2899.305697,0,0,0,6554,0.200012,false,0,0,0.000000,0,5,922,0.028137,0.261810,2343638,922,12527697408,19199082496,1.532531
prn_0,2,1258121,1258121,6962732,21232328,21232328,21232328,0,21232328,3015.826242,0,0,0,6554,0.200012,false,0,0,0.000000,0,5,443,0.013519,0.201542,2143106,443,10870951936,17556324352,1.614976
